date,trainings_count,conditions
2020-09-01,87,rain
2020-09-02,49,rain
2020-09-03,40,clear
2020-09-04,41,clear
2020-09-05,61,rain
2020-09-06,50,rain
2020-09-07,38,rain
2020-09-08,53,rain
2020-09-09,43,clear
2020-09-10,39,clear
2020-09-11,49,clear
2020-09-12,62,clear
2020-09-13,39,clear
2020-09-14,44,clear
2020-09-15,72,clear
2020-09-16,43,clear
2020-09-17,36,clear
2020-09-18,44,clear
2020-09-19,46,clear
2020-09-20,36,clear
2020-09-21,40,clear
2020-09-22,79,rain
2020-09-23,30,rain
2020-09-24,66,rain
2020-09-25,2,rain
2020-09-26,21,rain
2020-09-27,87,clear
2020-09-28,24,rain
2020-09-29,40,rain
2020-09-30,0,clear
